"model","scenario","region","unit","variable","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"Income Inequality Model (2019)","SSP1","Ghana","","Gini Income Inequality Coefficient",48.557,48.292,47.95,47.445,46.391,44.988,43.727,43.02,41.79,40.552,39.448,38.501,37.716,37.047,36.466,35.956,35.513,35.111
"Income Inequality Model (2019)","SSP1","Greece","","Gini Income Inequality Coefficient",32.773,33.105,33.358,33.485,33.479,33.319,33.014,32.579,32.246,31.876,31.47,31.034,30.582,30.139,29.71,29.321,28.952,28.593
"Income Inequality Model (2019)","SSP1","Guatemala","","Gini Income Inequality Coefficient",54.743,53.898,52.618,50.594,47.805,44.349,40.227,35.742,31.967,28.878,26.352,24.285,22.595,21.212,20.082,19.157,18.4,17.781
"Income Inequality Model (2019)","SSP1","Guinea","","Gini Income Inequality Coefficient",40.42,40.166,39.856,39.364,38.514,37.412,36.249,35.019,33.868,32.834,31.983,31.3,30.748,30.303,29.947,29.662,29.43,29.243
"Income Inequality Model (2019)","SSP1","Guinea-Bissau","","Gini Income Inequality Coefficient",56.495,56.301,55.963,55.427,54.842,54.16,53.331,52.374,51.85,51.385,50.872,50.316,49.723,49.095,48.434,47.748,47.033,46.29
"Income Inequality Model (2019)","SSP1","Guyana","","Gini Income Inequality Coefficient",44.131,43.597,42.946,42.144,41.449,40.78,39.93,38.784,37.411,36.011,34.81,33.837,33.048,32.412,31.901,31.49,31.155,30.886
"Income Inequality Model (2019)","SSP1","Haiti","","Gini Income Inequality Coefficient",60.506,60.312,59.974,59.438,58.853,58.171,57.342,56.385,55.861,55.396,54.883,54.327,53.733,53.106,52.445,51.759,51.044,50.301
"Income Inequality Model (2019)","SSP1","Honduras","","Gini Income Inequality Coefficient",57.235,57.041,56.703,56.167,55.582,54.9,54.071,53.114,52.59,52.125,51.612,51.056,50.463,49.835,49.174,48.488,47.773,47.03
"Income Inequality Model (2019)","SSP1","Hong Kong","","Gini Income Inequality Coefficient",54.535,54.341,54.003,53.467,52.882,52.2,51.371,50.414,49.89,49.425,48.912,48.356,47.763,47.135,46.474,45.788,45.073,44.33
"Income Inequality Model (2019)","SSP1","Hungary","","Gini Income Inequality Coefficient",26.716,27.066,27.277,27.3,27.125,26.729,26.108,25.262,24.631,23.917,23.121,22.248,21.303,20.299,19.243,18.179,17.085,15.963
"Income Inequality Model (2019)","SSP1","Iceland","","Gini Income Inequality Coefficient",27.157,27.286,27.347,27.331,27.241,27.071,26.827,26.506,26.248,25.969,25.668,25.345,25.001,24.642,24.269,23.897,23.492,23.063
"Income Inequality Model (2019)","SSP1","India","","Gini Income Inequality Coefficient",35.545,35.485,35.96,36.427,36.731,36.578,35.833,34.406,34.236,33.94,33.532,33.05,32.517,31.951,31.355,30.748,30.118,29.477
"Income Inequality Model (2019)","SSP1","Indonesia","","Gini Income Inequality Coefficient",41.107,40.59,39.958,39.167,38.544,37.976,37.167,35.891,34.594,33.306,32.213,31.333,30.615,30.035,29.571,29.198,28.891,28.644
"Income Inequality Model (2019)","SSP1","Iran","","Gini Income Inequality Coefficient",45.397,45.032,44.595,44.007,42.948,41.593,40.352,39.572,38.126,36.649,35.371,34.321,33.488,32.819,32.279,31.842,31.498,31.221
"Income Inequality Model (2019)","SSP1","Iraq","","Gini Income Inequality Coefficient",36.479,36.371,36.239,35.913,34.937,33.54,32.179,30.975,29.906,29.012,28.296,27.722,27.261,26.892,26.596,26.359,26.169,26.016
"Income Inequality Model (2019)","SSP1","Ireland","","Gini Income Inequality Coefficient",31.131,31.575,31.817,31.867,31.768,31.556,31.276,30.954,30.714,30.462,30.19,29.903,29.612,29.333,29.069,28.823,28.583,28.341
"Income Inequality Model (2019)","SSP1","Israel","","Gini Income Inequality Coefficient",36.954,36.931,36.807,36.581,36.262,35.873,35.43,34.951,34.445,33.905,33.322,32.695,32.033,31.344,30.636,29.914,29.166,28.393
"Income Inequality Model (2019)","SSP1","Italy","","Gini Income Inequality Coefficient",31.222,31.379,31.511,31.572,31.557,31.447,31.237,30.923,30.616,30.265,29.862,29.408,28.917,28.406,27.888,27.386,26.882,26.374
