poverty_3,poverty_4_20,poverty_8_30,poverty_10
54297052002.2338,54297052002.2338,16.791857,22.996916
55819262374.9039,55819262374.9039,15.171991,19.807428
57080897012.1077,57080897012.1077,13.186863,17.915907
50765918159.1476,50765918159.1476,15.599443,20.748405
2586550595.41013,2586550595.41013,,
2447669101.95178,2447669101.95178,,
2804902367.14687,2804902367.14687,97.13801,97.80327
3389566712.66037,3389566712.66037,,
2968370087.59759,2968370087.59759,,
3190371080.94768,3190371080.94768,,
3622350062.96053,3622350062.96053,,
4740768142.67494,4740768142.67494,95.14901,96.80844
5451688537.60959,5451688537.60959,,
6146353173.34929,6146353173.34929,,
6547419820.38113,6547419820.38113,,
7625722836.76847,7625722836.76847,,
9451435490.11467,9451435490.11467,,
9450696873.34326,9450696873.34326,95.9215,97.274574
10109619740.6994,10109619740.6994,,
12080295977.5632,12080295977.5632,,
12561015156.5683,12561015156.5683,,
13444300485.8412,13444300485.8412,,
13943016076.7436,13943016076.7436,94.52734,96.58606
11832159315.6298,11832159315.6298,,
869033856.317093,869033856.317093,,
972896267.915425,972896267.915425,,
893770740.207416,893770740.207416,98.14673,98.85909
808077223.365746,808077223.365746,,
870486065.883137,870486065.883137,,
876794723.068586,876794723.068586,,
825394519.423728,825394519.423728,,
784654423.620476,784654423.620476,,
915257323.3961,915257323.3961,,
1117113079.73645,1117113079.73645,,
1273375078.44844,1273375078.44844,98.53351,99.09296
1356199387.42308,1356199387.42308,,
1611835857.04588,1611835857.04588,,
1775495032.424,1775495032.424,,
2032135192.01248,2032135192.01248,,
2235812879.56709,2235812879.56709,,
2327402362.81574,2327402362.81574,,
2451624637.67157,2451624637.67157,97.13562,98.32779
2705826648.21019,2705826648.21019,,
2810532912.49975,2810532912.49975,,
501979269.843942,501979269.843942,,
490608657.924976,490608657.924976,,
521910560.524868,521910560.524868,,
592416703.058878,592416703.058878,,
539227277.626411,539227277.626411,,
563090490.377368,563090490.377368,,
620507387.466174,620507387.466174,,
813260468.873834,813260468.873834,,
924940011.836897,924940011.836897,,
972241676.907662,972241676.907662,,
1107571457.90614,1107571457.90614,,
1649621738.63689,1649621738.63689,,
1959620648.31578,1959620648.31578,,
1852334575.17521,1852334575.17521,,
1824751467.92957,1824751467.92957,,
2046817987.20109,2046817987.20109,,
1913081210.41411,1913081210.41411,,
2028910915.16446,2028910915.16446,,
2041930125.42979,2041930125.42979,,
1749857620.35329,1749857620.35329,,
3506695719.57259,3506695719.57259,,
3443413388.65696,3443413388.65696,,
3120425502.66241,3120425502.66241,,
3517242477.2548,3517242477.2548,,
3694168979.32019,3694168979.32019,,
4145665969.92864,4145665969.92864,,
4501227626.62752,4501227626.62752,,
5046693484.31767,5046693484.31767,,
5883297159.87352,5883297159.87352,,
7066296463.3598,7066296463.3598,,
8350531016.65753,8350531016.65753,,
10127916459.8983,10127916459.8983,,
12174303999.0812,12174303999.0812,,
12502901169.7377,12502901169.7377,,
13808673288.0696,13808673288.0696,,
16032622023.8265,16032622023.8265,,
17826536699.8016,17826536699.8016,,
19807135252.8649,19807135252.8649,,
22041463967.9009,22041463967.9009,,
24174170369.0738,24174170369.0738,,
11093538846.4483,11093538846.4483,89.82285,93.59001
10789458432.6416,10789458432.6416,,
11298144990.4104,11298144990.4104,,
11565826464.8921,11565826464.8921,,
10566579294.9831,10566579294.9831,,
10953485349.1135,10953485349.1135,82.27256,87.87225
12417251350.4882,12417251350.4882,,
15970315034.9903,15970315034.9903,,
18826214135.6419,18826214135.6419,,
19509852206.9341,19509852206.9341,,
20910512974.933,20910512974.933,,
23928250433.0378,23928250433.0378,82.606674,87.79019
27715142032.913,27715142032.913,,
27932970317.129,27932970317.129,,
27507501821.0296,27507501821.0296,,
30630910495.217,30630910495.217,,
30155062329.2821,30155062329.2821,,
33728621180.3231,33728621180.3231,,
36386544706.0806,36386544706.0806,72.70157,79.494064
32210233020.4569,32210233020.4569,,
630607994132.747,630607994132.747,1.2440783,1.7480125
654986999855.554,654986999855.554,1.2299328,1.7461492
634000000000.0,634000000000.0,1.246568,1.4950006
