country_name,scenario,log_gdp_pc_ood_onset,log_population_ood_onset,hdi_ood_onset,control_of_corruption_ood_onset,employment_agriculture_ood_onset,gini_coefficient_ood_onset,gdp_growth_5y_ood_onset,region_EAP_ood_onset,region_ECA_ood_onset,region_LAC_ood_onset,region_MENA_ood_onset,region_NAC_ood_onset,region_SAS_ood_onset
Spain,SSP4,2025,,,,,,,,,,,2025.0,2025.0
Spain,SSP5,2025,,,,2085.0,2085.0,,,,,,2025.0,2025.0
Sudan,SSP1,2025,,,,2070.0,,,,,,,2025.0,2025.0
Sudan,SSP4,2025,,,,,,,,,,,2025.0,2025.0
Sudan,SSP5,2025,,,,2065.0,,,,,,,2025.0,2025.0
Suriname,SSP1,2025,,,,2070.0,,,,,,,2025.0,2025.0
Suriname,SSP4,2025,,,,2075.0,,,,,,,2025.0,2025.0
Suriname,SSP5,2025,,,,2065.0,,,,,,,2025.0,2025.0
Sweden,SSP1,2025,,,,2090.0,,,,,,,2025.0,2025.0
Sweden,SSP4,2025,,,,2080.0,,,,,,,2025.0,2025.0
Sweden,SSP5,2025,,,,2075.0,2090.0,,,,,,2025.0,2025.0
Switzerland,SSP1,2025,,,,2100.0,,,,,,,2025.0,2025.0
Switzerland,SSP4,2025,,,,2095.0,,,,,,,2025.0,2025.0
Switzerland,SSP5,2025,,,,2080.0,,,,,,,2025.0,2025.0
Tajikistan,SSP1,2025,,,,2070.0,,,,,,,2025.0,2025.0
Tajikistan,SSP4,2025,,,,,,,,,,,2025.0,2025.0
Tajikistan,SSP5,2025,,,,2065.0,,,,,,,2025.0,2025.0
Tanzania,SSP1,2025,,,,2080.0,,,,,,,2025.0,2025.0
Tanzania,SSP4,2025,,,,,,,,,,,2025.0,2025.0
Tanzania,SSP5,2025,,,,2070.0,,,,,,,2025.0,2025.0
Thailand,SSP1,2025,,,,2075.0,2055.0,,,,,,2025.0,2025.0
Thailand,SSP4,2025,,,,2085.0,,,,,,,2025.0,2025.0
Thailand,SSP5,2025,,,,2070.0,2055.0,,,,,,2025.0,2025.0
Tonga,SSP1,2025,,,,2075.0,,,,,,,2025.0,2025.0
Tonga,SSP4,2025,,,,,,,,,,,2025.0,2025.0
Tonga,SSP5,2025,2065.0,,,2065.0,,,,,,,2025.0,2025.0
Trinidad and Tobago,SSP1,2025,,,,2075.0,,,,,,,2025.0,2025.0
Trinidad and Tobago,SSP4,2025,,,,2080.0,,,,,,,2025.0,2025.0
Trinidad and Tobago,SSP5,2025,,,,2070.0,,,,,,,2025.0,2025.0
Tunisia,SSP1,2025,,,,2070.0,,,,,,,2025.0,2025.0
Tunisia,SSP4,2025,,,,2070.0,,,,,,,2025.0,2025.0
Tunisia,SSP5,2025,,,,2065.0,,,,,,,2025.0,2025.0
Turkey,SSP1,2025,,,,2085.0,,,,,,,2025.0,2025.0
Turkey,SSP4,2025,,,,,,,,,,,2025.0,2025.0
Turkey,SSP5,2025,,,,2075.0,,,,,,,2025.0,2025.0
Turkmenistan,SSP1,2025,,,,2080.0,,,,,,,2025.0,2025.0
Turkmenistan,SSP4,2025,,,,2075.0,,,,,,,2025.0,2025.0
Turkmenistan,SSP5,2025,,,,2070.0,,,,,,,2025.0,2025.0
Uganda,SSP1,2025,,,,2080.0,,,,,,,2025.0,2025.0
Uganda,SSP4,2025,,,,,,,,,,,2025.0,2025.0
Uganda,SSP5,2025,,,,2070.0,,,,,,,2025.0,2025.0
Ukraine,SSP1,2025,,,,2070.0,2070.0,,,,,,2025.0,2025.0
Ukraine,SSP4,2025,,,,2075.0,,,,,,,2025.0,2025.0
Ukraine,SSP5,2025,,,,2065.0,2060.0,,,,,,2025.0,2025.0
United Kingdom,SSP1,2025,,,,2075.0,,,,,,,2025.0,2025.0
United Kingdom,SSP4,2025,,,,2070.0,,,,,,,2025.0,2025.0
United Kingdom,SSP5,2025,,,,2065.0,,,,,,,2025.0,2025.0
United States,SSP1,2025,,,,2095.0,,,,,,,,2025.0
United States,SSP4,2025,,,,2085.0,,,,,,,,2025.0
United States,SSP5,2025,,,,2075.0,,,,,,,,2025.0
Uruguay,SSP1,2025,,,,2070.0,,,,,,,2025.0,2025.0
Uruguay,SSP4,2025,,,,2080.0,,,,,,,2025.0,2025.0
Uruguay,SSP5,2025,,,,2065.0,,,,,,,2025.0,2025.0
Vanuatu,SSP1,2025,,,,2065.0,,,,,,,2025.0,2025.0
Vanuatu,SSP4,2025,,,,,,,,,,,2025.0,2025.0
Vanuatu,SSP5,2025,,,,2065.0,,,,,,,2025.0,2025.0
Viet Nam,SSP1,2025,,,,2080.0,,,,,,,2025.0,2025.0
Viet Nam,SSP4,2025,,,,2095.0,,,,,,,2025.0,2025.0
Viet Nam,SSP5,2025,,,,2070.0,,,,,,,2025.0,2025.0
Zambia,SSP1,2025,,,,2075.0,,,,,,,2025.0,2025.0
Zambia,SSP4,2025,,,,,,,,,,,2025.0,2025.0
Zambia,SSP5,2025,,,,2065.0,,,,,,,2025.0,2025.0
Zimbabwe,SSP1,2025,,,,2090.0,,,,,,,2025.0,2025.0
Zimbabwe,SSP4,2025,,,,,,,,,,,2025.0,2025.0
Zimbabwe,SSP5,2025,,,,2080.0,,,,,,,2025.0,2025.0
